driver_id,name,phone,vehicle_type,rating,start_date,avg_deliveries_per_week,status
2d2620b5-2a8c-4fcd-8bab-7822de4cd000,Scott Bradley,(340)579-0569x65917,Motorcycle,4.3,2023-09-14 17:55:06,11,Active
749f6d4e-4795-4daa-b981-53d019e477c7,Jonathan Hubbard,629-845-6371x83440,Bicycle,3.8,2022-02-19 22:45:06,30,Active
e9aea2c2-af36-48a1-9bf8-b073c219c3cc,Lori Rubio,001-791-395-4198x763,Car,3.2,2021-02-12 22:29:35,11,Active
252dd838-1c86-40c3-adf7-c9eb6f89aa02,Elizabeth Brock,(485)936-6498x78208,Scooter,3.6,2022-10-01 18:47:10,11,Active
9cb0df41-107e-48dd-afce-de4c763a1840,Victor Harmon,548.496.9083x572,Car,4.3,2021-04-29 22:17:51,13,Active
32e42378-130f-4ade-94e6-ca605427ca86,Pamela Richard,(451)536-4424x93631,Bicycle,4.8,2020-03-02 23:17:14,19,Active
39d4ec65-0475-4f7b-bcfc-d1902067e15d,Robert Collins,486.260.3242x0448,Car,3.3,2022-02-22 22:43:39,50,Active
1fc694b1-d6d9-4bc3-911c-edfa93121277,Katelyn Smith,459-541-6516,Car,4.1,2022-05-24 15:58:38,31,Active
0a95ec58-d38f-454d-9b3f-710fb8c336e1,Nicholas Fitzpatrick,898.547.1391x55963,Car,4.3,2023-04-05 23:43:51,22,On leave
a6d01f1c-7278-4574-b6f6-afa42b8e21b7,Christopher Booker,964.590.7851x586,Car,4.4,2022-12-09 10:27:58,19,Active
14a0e0a0-a433-4e09-b1fd-5094c8746a4f,Sherry Giles,(675)740-9003x486,Car,3.3,2020-05-19 23:34:46,17,Active
e23448a6-b0eb-4357-9dbc-a680955a871e,Melinda Nichols,676.506.4413,Bicycle,3.3,2020-03-02 16:56:26,36,Active
2c663ecf-c321-43e9-8acd-ffdabd965bdf,Caitlin Gonzales,360-741-7765x61248,Motorcycle,4.6,2023-07-29 14:09:49,22,Active
afdee0bc-6ea3-4ca8-940b-74fed06b2205,Nicholas Kelley,370-402-7206x34591,Car,4.5,2023-06-08 14:38:36,49,Active
5b7399fa-125b-429f-8b70-d2a3d8af27f2,Micheal Saunders,+1-529-365-7724x2954,Car,4.4,2022-01-06 08:44:49,40,Active
cff3bc14-1c95-4273-aff9-200b88fe2c1f,Christopher Walter,001-530-608-9317,Bicycle,3.9,2023-08-24 17:11:54,34,Active
f16e3045-8c6f-4e5e-9da8-2f221c19accb,Caroline Morales,(394)521-5291x08677,Car,3.4,2020-03-08 19:48:00,27,New
bdadff53-b1dd-47a8-8205-f49962ebfce0,Cheryl Atkins,447-862-6393x436,Car,4.3,2021-02-20 12:04:11,38,On leave
b6a59f4b-d38f-40fb-bdbd-ae3b3e77b57b,Alyssa Cherry,997.435.9710,Car,3.6,2022-07-27 13:27:25,12,Active
4bed92cc-2f4f-40d6-abb7-b3c00cb4a4a8,Valerie Sanders,266.794.1180,Bicycle,4.4,2022-03-19 23:33:41,12,Active
e1ad9d60-e1c8-405b-a3cf-dd8fcb721b13,Kaitlin Gomez,+1-290-404-8964x652,Car,4.7,2020-03-28 13:33:34,35,New
4d8c1530-e183-4cf9-aca2-3365ca139c3e,Jonathan Conrad,921.658.6241x502,Car,3.8,2023-07-16 07:12:18,38,Active
76d2580e-270b-457a-b433-b3f53eaab74e,Tammy Campbell,294-585-6257x287,Car,4.7,2022-08-03 11:27:18,49,On leave
4f27d90b-8039-4cc5-8dfc-f8b243b5fcb0,David Johnson,927-361-7075x877,Motorcycle,4.8,2022-08-08 20:05:46,42,Active
1399d51c-774f-465b-abe2-2c246045f1b0,Sharon Martinez,534-222-8499,Motorcycle,4.9,2023-11-27 23:08:25,36,Active
3c159dc2-5ed7-4f1a-9625-edc6ea08755a,Laura Butler,737-315-0416,Car,3.9,2021-02-18 20:05:16,30,Active
9444cfd1-533a-4ae2-86eb-0e32ae71423a,Brittany Miller,001-477-549-0509x759,Scooter,4.6,2020-09-11 08:07:45,38,Active
26f99308-01c0-4edb-a282-a0cee25f4ef9,Rebecca Campbell,5188961642,Car,4.4,2022-11-14 11:24:35,34,Active
072538e0-787e-4522-bea7-277c5216be92,Samuel Martin,001-564-921-4764x92515,Car,3.7,2023-09-13 10:10:55,19,Active
9b41a8b3-deb4-4b45-b046-e8748fc19c02,James Adams,+1-761-965-9266x108,Motorcycle,3.8,2021-09-26 20:18:40,21,Active
047d4edc-8141-43b1-87e6-6d13d7da6c51,Maria Reeves,588.814.7617x4224,Car,3.4,2023-06-30 14:00:29,41,On leave
758cf270-4b68-489a-bb0d-2a6ca41d113f,Anthony Jones,6817866179,Car,3.0,2022-10-08 13:13:37,40,Active
d09377b2-64bb-4c9a-aee2-91779ae236ab,Brad Gordon,772-926-0164,Car,4.2,2020-01-15 13:56:35,27,Active
85097545-5ff8-41f5-b4af-1d1cb692b4b8,Joanna Morton,223-421-9416x80061,Car,4.7,2020-04-11 11:09:03,32,Active
750f22fe-2af8-420c-97bf-5430b6ad5085,Julia Sullivan,+1-397-249-9564x12203,Bicycle,4.3,2023-05-21 15:21:58,15,Active
5914801b-0c5e-41d2-bc22-c79b73364ca7,Chelsea Johnson,323.468.3147x2760,Car,3.4,2023-10-09 15:39:42,48,Active
8980b51a-7342-41cb-a7c8-baa24893b363,Nancy Wallace,370.879.3349x6050,Car,4.9,2023-04-01 17:59:02,15,Inactive
ffe837e1-0e22-4385-900a-43e1d07b3207,Sarah Mclaughlin,+1-284-207-6789x973,Car,4.8,2020-05-19 19:53:35,14,Active
df11a463-f9a9-4bf2-9c70-8075b6d4ba40,Ethan Brown,+1-967-717-9576x0243,Car,4.4,2021-07-17 16:33:26,43,Active
a878378b-e6a3-4991-8847-94db5e2489d0,Jordan Matthews,+1-359-972-4665x72934,Car,3.1,2023-03-17 22:05:30,48,On leave
46f9d4cd-c848-44b3-85af-6c1c6426a0fe,Curtis Obrien,767-643-3800,On foot,3.6,2023-06-01 16:16:33,46,New
65e33308-ba25-44e4-9fcd-3fd4f53f79d1,Christopher Clayton,701.256.1931x83745,Car,3.3,2023-02-27 21:33:46,50,Active
fa111aa8-bd82-4b4a-aaad-ba6c0ed95715,Kristin Kemp,001-289-310-7711x991,Bicycle,4.8,2021-04-22 15:12:00,17,Active
8f7443c6-ec9b-42a7-a729-9d3dabe50cfa,Bruce Harris,(524)978-7125x521,Motorcycle,3.2,2021-03-01 19:26:02,31,Active
d18f419c-e806-41a0-8c76-0aaffb78da6d,Patricia Smith,854.582.1456x5328,Bicycle,3.4,2023-08-05 12:44:18,26,Inactive
8cc41d4e-2a12-4355-aea4-52f6c7bd57e3,Jeffrey Hardin,885.407.2081x155,Car,4.0,2021-10-26 06:07:43,31,Active
51e907b4-0111-4f8c-9390-f7e9799dc980,James Johnson,+1-629-408-4668x4550,Motorcycle,4.2,2020-03-01 11:12:21,31,On leave
5a43f67b-0960-4071-8fe1-58be3e47fe0f,Jill Harris,+1-299-775-6341,Car,3.9,2020-03-14 10:30:09,50,Active
